               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096209,            0.032289,            0.033868,             0.44254,             0.25806,             0.14023,            0.047529,            0.073622,            0.023008,            0.023118,            0.070714,            0.003254,            0.003254
                   1,             0.07109,            0.025215,             0.01844,             0.38036,              0.3524,             0.31505,             0.12682,            0.066512,            0.016254,            0.014383,            0.040388,           0.0062612,           0.0062612
                   2,            0.067722,            0.021369,             0.01402,             0.48773,             0.54854,             0.49515,             0.19977,            0.063107,            0.013539,            0.010351,           0.0097321,           0.0089385,           0.0089385
                   3,            0.061293,            0.018631,            0.010057,             0.42047,             0.61269,             0.44129,             0.21726,            0.060415,            0.011392,           0.0066993,            0.008515,            0.008515,            0.008515
                   4,            0.054136,            0.014465,           0.0069561,             0.61031,             0.69278,             0.67093,             0.27658,            0.047008,           0.0092818,           0.0054151,            0.008515,            0.008515,            0.008515
                   5,            0.044905,            0.013402,           0.0053798,             0.70685,             0.65948,             0.72129,             0.32211,            0.043258,           0.0085965,           0.0045647,             0.00802,             0.00802,             0.00802
                   6,            0.041465,            0.011932,           0.0048211,             0.69663,             0.72602,             0.73587,             0.33816,            0.040213,           0.0081377,           0.0046345,            0.007525,            0.007525,            0.007525
                   7,            0.037979,            0.011183,           0.0044437,             0.67799,             0.82199,             0.82267,             0.47072,            0.031946,           0.0074837,           0.0035705,             0.00703,             0.00703,             0.00703
                   8,            0.033286,            0.010643,           0.0034933,             0.83486,             0.81415,              0.8931,             0.55032,            0.032086,           0.0072935,           0.0034738,            0.006535,            0.006535,            0.006535
                   9,            0.031326,            0.010253,           0.0036176,             0.86662,             0.83093,              0.8984,             0.55893,            0.029277,           0.0067971,           0.0032622,             0.00604,             0.00604,             0.00604
                  10,            0.030925,            0.010478,           0.0033454,             0.79236,             0.90878,             0.89776,             0.54951,            0.025334,           0.0064864,           0.0030307,            0.005545,            0.005545,            0.005545
                  11,            0.027186,           0.0099089,           0.0028607,             0.87246,             0.85535,             0.89006,             0.58855,            0.025839,            0.006356,           0.0028369,             0.00505,             0.00505,             0.00505
                  12,            0.025901,           0.0091109,           0.0026828,             0.90175,             0.87741,             0.92772,             0.63617,            0.023624,           0.0062562,           0.0028218,            0.004555,            0.004555,            0.004555
                  13,             0.02402,           0.0093498,           0.0024491,             0.96357,             0.88049,             0.95868,             0.65555,            0.022853,           0.0059928,           0.0023713,             0.00406,             0.00406,             0.00406
                  14,            0.023378,           0.0091264,           0.0022357,             0.97123,             0.88706,             0.96741,             0.68442,            0.020272,           0.0058134,           0.0022158,            0.003565,            0.003565,            0.003565
                  15,            0.020583,           0.0079909,           0.0018756,              0.9426,             0.88819,             0.96129,             0.70555,            0.020485,           0.0057821,           0.0020505,             0.00307,             0.00307,             0.00307
                  16,            0.020877,           0.0084957,           0.0017656,             0.97003,             0.89916,             0.97208,             0.70782,            0.020159,           0.0055987,           0.0019651,            0.002575,            0.002575,            0.002575
                  17,            0.019055,           0.0079575,           0.0015554,             0.97227,             0.90053,             0.96852,             0.71924,            0.018185,           0.0055073,           0.0018825,             0.00208,             0.00208,             0.00208
                  18,            0.018439,            0.008688,           0.0015574,             0.97928,             0.89888,              0.9727,             0.73385,              0.0174,           0.0053658,           0.0016202,            0.001585,            0.001585,            0.001585
                  19,             0.01708,           0.0078567,           0.0013375,              0.9615,              0.9198,             0.97124,             0.73745,            0.017421,           0.0053303,           0.0014851,             0.00109,             0.00109,             0.00109
